Frame; Unity_timestamps; trial; condition; target_x; target_y; target_z; epoch; error ; Eyes_timestamps; px_eye_right; py_eye_right; px_eye_left; py_eye_left; DiameterRight; DiameterLeft; ArduX; ArduY
1;4293;1;0;0;0;0;1;0;68104.268172;143.6422;153.8962;125.5029;88.61236;49.09026;16.98231;0;0
2;4311;1;0;0;0;0;1;0;68104.301001;143.6203;153.9002;125.2037;88.43194;49.00781;16.97187;0;0
3;4315;1;0;0;0;0;1;0;68104.301001;143.6203;153.9002;125.2037;88.43194;49.00781;16.97187;0;0
4;4321;1;0;0;0;0;1;0;68104.309158;143.5477;153.836;125.4627;88.57009;49.33306;16.95737;0;0
5;4325;1;0;0;0;0;1;0;68104.309158;143.5477;153.836;125.4627;88.57009;49.33306;16.95737;0;0
6;4333;1;0;0;0;0;1;0;68104.318543;143.512;153.7896;125.6625;88.49845;49.45838;16.87818;0;0
7;4338;1;0;0;0;0;1;0;68104.318543;143.512;153.7896;125.6625;88.49845;49.45838;16.87818;0;0
8;4343;1;0;0;0;0;1;0;68104.329873;143.5232;153.8024;125.9614;88.59634;49.37422;16.85939;0;0
9;4346;1;0;0;0;0;1;0;68104.329873;143.5232;153.8024;125.9614;88.59634;49.37422;16.85939;0;0
10;4353;1;0;0;0;0;1;0;68104.329873;143.5232;153.8024;125.9614;88.59634;49.37422;16.85939;0;0
11;4357;1;0;0;0;0;1;0;68104.342139;143.6262;154.0049;125.9466;88.5769;48.32779;16.86456;0;0
12;4363;1;0;0;0;0;1;0;68104.342139;143.6262;154.0049;125.9466;88.5769;48.32779;16.86456;0;0
13;4368;1;0;0;0;0;1;0;68104.352934;143.5657;153.8967;125.7818;88.50365;48.83058;16.85147;0;0
14;4374;1;0;0;0;0;1;0;68104.361969;143.5657;153.8967;125.6895;88.45622;48.83058;16.84754;0;0
15;4378;1;0;0;0;0;1;0;68104.361969;143.5657;153.8967;125.6895;88.45622;48.83058;16.84754;0;0
16;4385;1;0;0;0;0;1;0;68104.371596;143.5676;153.8575;125.6311;88.60412;49.36128;16.96074;0;0
17;4390;1;0;0;0;0;1;0;68104.377807;143.619;153.906;125.6311;88.60412;48.80623;16.96074;0;0
18;4396;1;0;0;0;0;1;0;68104.382462;143.619;153.906;125.4846;88.58688;48.80623;16.9625;0;0
19;4401;1;0;0;0;0;1;0;68104.382462;143.619;153.906;125.4846;88.58688;48.80623;16.9625;0;0
20;4406;1;0;0;0;0;1;0;68104.391991;143.5404;153.9552;125.3018;88.48256;48.59838;16.95101;0;0
21;4412;1;0;0;0;0;1;0;68104.399801;143.6247;154.0073;125.3018;88.48256;48.13284;16.95101;0;0
22;4417;1;0;0;0;0;1;0;68104.401131;143.6247;154.0073;125.4279;88.57926;48.13284;16.97266;0;0
23;4452;1;0;0;0;0;1;0;68104.439071;143.65;153.9356;125.8943;88.53315;49.02057;16.84466;0;0
24;4457;1;0;0;0;0;1;0;68104.439071;143.65;153.9356;125.8943;88.53315;49.02057;16.84466;0;0
25;4462;1;0;0;0;0;1;0;68104.446895;143.5728;153.8401;125.9135;88.59936;49.45565;16.88042;0;0
26;4467;1;0;0;0;0;1;0;68104.446895;143.5728;153.8401;125.9135;88.59936;49.45565;16.88042;0;0
27;4479;1;0;0;0;0;1;0;68104.461634;143.6037;153.8849;125.9535;88.62027;49.18347;16.86699;0;0
28;4486;1;0;0;0;0;1;0;68104.46967;143.624;153.8787;125.9108;88.58347;49.04672;16.87828;0;0
29;4491;1;0;0;0;0;1;0;68104.46967;143.624;153.8787;125.9108;88.58347;49.04672;16.87828;0;0
30;4496;1;0;0;0;0;1;0;68104.484026;143.624;153.8787;125.7378;88.50094;49.04672;16.85898;0;0
31;4503;1;0;0;0;0;1;0;68104.484055;143.6267;154.0258;125.7378;88.50094;48.03445;16.85898;0;0
32;4508;1;0;0;0;0;1;0;68104.484055;143.6267;154.0258;125.7378;88.50094;48.03445;16.85898;0;0
33;4513;1;0;0;0;0;1;0;68104.497126;143.6252;153.9606;125.6124;88.59038;48.67196;16.94911;0;0
34;4520;1;0;0;0;0;1;0;68104.507099;143.6252;153.9606;125.319;88.48456;48.67196;16.94728;0;0
35;4524;1;0;0;0;0;1;0;68104.507893;143.5636;153.8386;125.319;88.48456;49.27328;16.94728;0;0
36;4530;1;0;0;0;0;1;0;68104.51688;143.5636;153.8386;125.2444;88.42509;49.27328;16.95136;0;0
37;4535;1;0;0;0;0;1;0;68104.518782;143.6337;153.8806;125.2444;88.42509;49.36508;16.95136;0;0
38;4539;1;0;0;0;0;1;0;68104.526314;143.6337;153.8806;125.4046;88.52007;49.36508;16.95609;0;0
39;4545;1;0;0;0;0;1;0;68104.531023;143.5615;153.8711;125.4046;88.52007;49.24242;16.95609;0;0
